,path,emotion
0,data/train-custom\hamed1_neutral.wav,neutral
1,data/train-custom\hamed2_neutral.wav,neutral
2,data/train-custom\hamed3_neutral.wav,neutral
3,data/train-custom\hamed4_neutral.wav,neutral
4,data/train-custom\hamed5_neutral.wav,neutral
5,data/train-custom\hamed6_neutral.wav,neutral
6,data/train-custom\hamed7_neutral.wav,neutral
7,data/train-custom\hamed8_neutral.wav,neutral
8,data/train-custom\hamed9_neutral.wav,neutral
9,data/train-custom\hamedA_neutral.wav,neutral
10,data/train-custom\hamedB_neutral.wav,neutral
11,data/train-custom\hamedC_neutral.wav,neutral
12,data/train-custom\nadjib1_neutral.wav,neutral
13,data/train-custom\nadjib2_neutral.wav,neutral
14,data/train-custom\nadjib3_neutral.wav,neutral
15,data/train-custom\nadjib4_neutral.wav,neutral
16,data/train-custom\nadjib5_neutral.wav,neutral
17,data/train-custom\nadjib6_neutral.wav,neutral
18,data/train-custom\nadjib7_neutral.wav,neutral
19,data/train-custom\nadjib8_neutral.wav,neutral
20,data/train-custom\nadjib9_neutral.wav,neutral
21,data/train-custom\nadjibA_neutral.wav,neutral
22,data/train-custom\nadjibB_neutral.wav,neutral
23,data/train-custom\nadjibC_neutral.wav,neutral
24,data/train-custom\oumaima1_neutral.wav,neutral
25,data/train-custom\oumaima2_neutral.wav,neutral
26,data/train-custom\oumaima3_neutral.wav,neutral
27,data/train-custom\oumaima4_neutral.wav,neutral
28,data/train-custom\oumaima5_neutral.wav,neutral
29,data/train-custom\oumaima6_neutral.wav,neutral
30,data/train-custom\oumaima7_neutral.wav,neutral
31,data/train-custom\oumaima8_neutral.wav,neutral
32,data/train-custom\oumaima9_neutral.wav,neutral
33,data/train-custom\oumaimaA_neutral.wav,neutral
34,data/train-custom\oumaimaB_neutral.wav,neutral
35,data/train-custom\oumaimaC_neutral.wav,neutral
36,data/train-custom\rockikz1_neutral.wav,neutral
37,data/train-custom\rockikz2_neutral.wav,neutral
38,data/train-custom\rockikz3_neutral.wav,neutral
39,data/train-custom\rockikz4_neutral.wav,neutral
40,data/train-custom\rockikz5_neutral.wav,neutral
41,data/train-custom\rockikz6_neutral.wav,neutral
42,data/train-custom\rockikz7_neutral.wav,neutral
43,data/train-custom\rockikz8_neutral.wav,neutral
44,data/train-custom\rockikz9_neutral.wav,neutral
45,data/train-custom\rockikzA_neutral.wav,neutral
46,data/train-custom\rockikzB_neutral.wav,neutral
47,data/train-custom\rockikzC_neutral.wav,neutral
48,data/train-custom\soumaya1_neutral.wav,neutral
49,data/train-custom\soumaya2_neutral.wav,neutral
