,path,emotion
0,data/emodb/wav\03a01Nc.wav,neutral
1,data/emodb/wav\03a01Wa.wav,angry
2,data/emodb/wav\03a02Nc.wav,neutral
3,data/emodb/wav\03a02Wb.wav,angry
4,data/emodb/wav\03a02Wc.wav,angry
5,data/emodb/wav\03a04Nc.wav,neutral
6,data/emodb/wav\03a04Wc.wav,angry
7,data/emodb/wav\03a05Nd.wav,neutral
8,data/emodb/wav\03a05Wa.wav,angry
9,data/emodb/wav\03a05Wb.wav,angry
10,data/emodb/wav\03a07Nc.wav,neutral
11,data/emodb/wav\03a07Wc.wav,angry
12,data/emodb/wav\03b01Nb.wav,neutral
13,data/emodb/wav\03b01Wa.wav,angry
14,data/emodb/wav\03b01Wc.wav,angry
15,data/emodb/wav\03b02Na.wav,neutral
16,data/emodb/wav\03b02Wb.wav,angry
17,data/emodb/wav\03b03Nb.wav,neutral
18,data/emodb/wav\03b03Wc.wav,angry
19,data/emodb/wav\03b09Nc.wav,neutral
20,data/emodb/wav\03b09Wa.wav,angry
21,data/emodb/wav\03b10Ec.wav,disgust
22,data/emodb/wav\03b10Na.wav,neutral
23,data/emodb/wav\03b10Nc.wav,neutral
24,data/emodb/wav\03b10Wb.wav,angry
25,data/emodb/wav\03b10Wc.wav,angry
26,data/emodb/wav\08a01Na.wav,neutral
27,data/emodb/wav\08a01Wa.wav,angry
28,data/emodb/wav\08a01Wc.wav,angry
29,data/emodb/wav\08a02Na.wav,neutral
30,data/emodb/wav\08a02Wc.wav,angry
31,data/emodb/wav\08a04Nc.wav,neutral
32,data/emodb/wav\08a04Wc.wav,angry
33,data/emodb/wav\08a05Nb.wav,neutral
34,data/emodb/wav\08a05Wa.wav,angry
35,data/emodb/wav\08a07Na.wav,neutral
36,data/emodb/wav\08a07Wc.wav,angry
37,data/emodb/wav\08b01Na.wav,neutral
38,data/emodb/wav\08b01Wa.wav,angry
39,data/emodb/wav\08b02Nb.wav,neutral
40,data/emodb/wav\08b02Wd.wav,angry
41,data/emodb/wav\08b03Nb.wav,neutral
42,data/emodb/wav\08b03Wd.wav,angry
43,data/emodb/wav\08b09Nb.wav,neutral
44,data/emodb/wav\08b09Wa.wav,angry
45,data/emodb/wav\08b09Wc.wav,angry
46,data/emodb/wav\08b10Nc.wav,neutral
47,data/emodb/wav\08b10Wa.wav,angry
48,data/emodb/wav\09a01Ea.wav,disgust
49,data/emodb/wav\09a01Nb.wav,neutral
50,data/emodb/wav\09a01Wb.wav,angry
51,data/emodb/wav\09a02Ea.wav,disgust
52,data/emodb/wav\09a02Eb.wav,disgust
53,data/emodb/wav\09a02Wb.wav,angry
54,data/emodb/wav\09a04Nb.wav,neutral
55,data/emodb/wav\09a04Wa.wav,angry
56,data/emodb/wav\09a05Ed.wav,disgust
57,data/emodb/wav\09a05Nb.wav,neutral
58,data/emodb/wav\09a05Wb.wav,angry
59,data/emodb/wav\09a05Wc.wav,angry
60,data/emodb/wav\09a07Eb.wav,disgust
61,data/emodb/wav\09a07Na.wav,neutral
62,data/emodb/wav\09a07Wb.wav,angry
63,data/emodb/wav\09a07Wd.wav,angry
64,data/emodb/wav\09b01Ea.wav,disgust
65,data/emodb/wav\09b01Na.wav,neutral
66,data/emodb/wav\09b01Wb.wav,angry
67,data/emodb/wav\09b02Na.wav,neutral
68,data/emodb/wav\09b02Wc.wav,angry
69,data/emodb/wav\09b02Wd.wav,angry
70,data/emodb/wav\09b03Ed.wav,disgust
71,data/emodb/wav\09b03Nb.wav,neutral
72,data/emodb/wav\09b03Wb.wav,angry
73,data/emodb/wav\09b09Ea.wav,disgust
74,data/emodb/wav\09b09Nd.wav,neutral
75,data/emodb/wav\09b09Wa.wav,angry
76,data/emodb/wav\09b10Nd.wav,neutral
77,data/emodb/wav\09b10Wa.wav,angry
78,data/emodb/wav\10a01Nb.wav,neutral
79,data/emodb/wav\10a01Wa.wav,angry
80,data/emodb/wav\10a02Na.wav,neutral
81,data/emodb/wav\10a02Wa.wav,angry
82,data/emodb/wav\10a04Nb.wav,neutral
83,data/emodb/wav\10a04Wa.wav,angry
84,data/emodb/wav\10a04Wb.wav,angry
85,data/emodb/wav\10a05Wb.wav,angry
86,data/emodb/wav\10a07Wb.wav,angry
87,data/emodb/wav\10b01Ea.wav,disgust
88,data/emodb/wav\10b02Na.wav,neutral
89,data/emodb/wav\10b02Wb.wav,angry
90,data/emodb/wav\10b03Wb.wav,angry
91,data/emodb/wav\10b09Wb.wav,angry
92,data/emodb/wav\10b10Wa.wav,angry
93,data/emodb/wav\11a01Nd.wav,neutral
94,data/emodb/wav\11a01Wc.wav,angry
95,data/emodb/wav\11a02Ec.wav,disgust
96,data/emodb/wav\11a02Nc.wav,neutral
97,data/emodb/wav\11a02Wc.wav,angry
98,data/emodb/wav\11a04Nd.wav,neutral
99,data/emodb/wav\11a04Wc.wav,angry
100,data/emodb/wav\11a05Na.wav,neutral
101,data/emodb/wav\11a05Wd.wav,angry
102,data/emodb/wav\11a07Wc.wav,angry
103,data/emodb/wav\11b01Eb.wav,disgust
104,data/emodb/wav\11b01Nc.wav,neutral
105,data/emodb/wav\11b01Wd.wav,angry
106,data/emodb/wav\11b02Na.wav,neutral
107,data/emodb/wav\11b02Wb.wav,angry
108,data/emodb/wav\11b03Nb.wav,neutral
109,data/emodb/wav\11b03Wa.wav,angry
110,data/emodb/wav\11b03Wb.wav,angry
111,data/emodb/wav\11b09Na.wav,neutral
112,data/emodb/wav\11b09Wa.wav,angry
113,data/emodb/wav\11b10Nc.wav,neutral
114,data/emodb/wav\11b10Wa.wav,angry
115,data/emodb/wav\12a01Nb.wav,neutral
116,data/emodb/wav\12a01Wc.wav,angry
117,data/emodb/wav\12a02Ec.wav,disgust
118,data/emodb/wav\12a02Nb.wav,neutral
119,data/emodb/wav\12a02Wa.wav,angry
120,data/emodb/wav\12a02Wc.wav,angry
121,data/emodb/wav\12a04Wc.wav,angry
122,data/emodb/wav\12a05Nd.wav,neutral
123,data/emodb/wav\12a05Wb.wav,angry
124,data/emodb/wav\12a07Wa.wav,angry
125,data/emodb/wav\12b01Wa.wav,angry
126,data/emodb/wav\12b02Ea.wav,disgust
127,data/emodb/wav\12b02Na.wav,neutral
128,data/emodb/wav\12b02Wa.wav,angry
129,data/emodb/wav\12b02Wb.wav,angry
130,data/emodb/wav\12b02Wd.wav,angry
131,data/emodb/wav\12b09Wc.wav,angry
132,data/emodb/wav\12b10Wa.wav,angry
